,,OUTPUT PERIOD 32,,,,,,,,,,,,,,,,,
32,JAPAN,MEXICO,CHINA,U.K.,GERMAN,U.S.,TOTAL,,,,,Period,Country,Demand - Units P1,,,,,
Ship Next Capacity,922724,,,,,,,,,,,,,,,,,,
Sales Revenue,28593651.25,,,,,,,,,,,,,,,,,,
Interest Income,511280,,,,,,,,,,,,,,,,,,
Currency Trading Revenue,0,,,,,,,,,,,,,,,,,,
Total Revenue,29104931.25,,,,,,,,,,,,,,,,,,
Cost of Goods Sold,14360214,,,,,,,,,,,,,,,,,,
Transportation Expense,1032887.7,,,,,,,,,,,,,,,,,,
Marketing Expense,3248759,,,,,,,,,,,,,,,,,,
Warehousing Expense,169444,,,,,,,,,,,,,,,,,,
Research & Development,4500000,,,,,,,,,,,,,,,,,,
Interest Expense,652347,,,,,,,,,,,,,,,,,,
Plant depreciation,133759,,,,,,,,,,,,,,,,,,
Plant sale loss,0,,,,,,,,,,,,,,,,,,
Inventory writedown,0,,,,,,,,,,,,,,,,,,
Consultation fees,1600000,,,,,,,,,,,,,,,,,,
Insurance,160000,,,,,,,,,,,,,,,,,,
Admin and misc fees,0,,,,,,,,,,,,,,,,,,
Bad debt expense,181842,,,,,,,,,,,,,,,,,,
Import Traiffs,2004293.57,,,,,,,,,,,,,,,,,,
Total Expenses,28043546.27,,,,,,,,,,,,,,,,,,
Pre-Tax Income,1061384.982,,,,,,,,,,,,,,,,,,
Income Taxes,360871,,,,,,,,,,,,,,,,,,
Net income,700513.9816,,,,,,,,,,,,,,,,,,
Property Ins Coverage,6250000,,,,,,,,,,,,,,,,,,
D & O Ins Coverage,11666666.67,,,,,,,,,,,,,,,,,,
Prod Liab Ins Coverage,10000000,,,,,,,,,,,,,,,,,,
Property Ins Rates,400,,,,,,,,,,,,,,,,,,
D & O Ins Rates,300,,,,,,,,,,,,,,,,,,
Prod Liab Ins Rates,1000,,,,,,,,,,,,,,,,,,
Interest Rates Invest,1.4,,,,,,,,,,,,,,,,,,
Interest rates Borrow,2.47,,,,,,,,,,,,,,,,,,
Max Loan possible,67242015,,,,,,,,,,,,,,,,,,
Max new loan possible,40178855,,,,,,,,,,,,,,,,,,
Contract volume next prd.,60000,,,,,,,,,,,,,,,,,,
Contract Image,0,,,,,,,,,,,,,,,,,,
Company image P1,4.059623692,,,,,,,,,,,,,,,,,,
Company image P2,4.2,,,,,,,,,,,,,,,,,,
Currency Cont Yen,0,,,,,,,,,,,,,,,,,,
Currency Cont Peso,0,,,,,,,,,,,,,,,,,,
Currency Cont Yuan,0,,,,,,,,,,,,,,,,,,
Currency Cont Pound,0,,,,,,,,,,,,,,,,,,
